X,Y,Z
3.525000095,0,2.493750095
2.900000095,0,2.474999905
2.900000095,-0.150000006,2.474999905
3.450000048,-0.150000006,2.512500048
3.450000048,0,2.512500048
2.799999952,0,2.400000095
2.799999952,-0.150000006,2.400000095
3.200000048,-0.150000006,2.400000095
3.200000048,0,2.400000095
3.525000095,0.25,2.493750095
2.799999952,0.25,2.474999905
3.450000048,0.150000006,2.512500048
2.900000095,0.150000006,2.474999905
3.200000048,0.150000006,2.400000095
2.799999952,0.150000006,2.400000095
0,0,3.150000095
0,-0.002000000095,3.150000095
0.002000000095,0,3.150000095
0.8000000119,0,3.150000095
0.8000000119,-0.4499999881,3.150000095
0.4499999881,-0.8000000119,3.150000095
0,-0.8000000119,3.150000095
0,0,2.849999905
0.200000003,0,2.700000048
0.200000003,-0.1120000035,2.700000048
0.1120000035,-0.200000003,2.700000048
0,-0.200000003,2.700000048
-0.002000000095,0,3.150000095
-0.4499999881,-0.8000000119,3.150000095
-0.8000000119,-0.4499999881,3.150000095
-0.8000000119,0,3.150000095
-0.1120000035,-0.200000003,2.700000048
-0.200000003,-0.1120000035,2.700000048
-0.200000003,0,2.700000048
0,0.002000000095,3.150000095
-0.8000000119,0.4499999881,3.150000095
-0.4499999881,0.8000000119,3.150000095
0,0.8000000119,3.150000095
-0.200000003,0.1120000035,2.700000048
-0.1120000035,0.200000003,2.700000048
0,0.200000003,2.700000048
0.4499999881,0.8000000119,3.150000095
0.8000000119,0.4499999881,3.150000095
0.1120000035,0.200000003,2.700000048
0.200000003,0.1120000035,2.700000048
0.400000006,0,2.549999952
0.400000006,-0.2240000069,2.549999952
0.2240000069,-0.400000006,2.549999952
0,-0.400000006,2.549999952
1.299999952,0,2.549999952
1.299999952,-0.7279999852,2.549999952
0.7279999852,-1.299999952,2.549999952
0,-1.299999952,2.549999952
1.299999952,0,2.400000095
1.299999952,-0.7279999852,2.400000095
0.7279999852,-1.299999952,2.400000095
0,-1.299999952,2.400000095
-0.2240000069,-0.400000006,2.549999952
-0.400000006,-0.2240000069,2.549999952
-0.400000006,0,2.549999952
-0.7279999852,-1.299999952,2.549999952
-1.299999952,-0.7279999852,2.549999952
-1.299999952,0,2.549999952
-0.7279999852,-1.299999952,2.400000095
-1.299999952,-0.7279999852,2.400000095
-1.299999952,0,2.400000095
-0.400000006,0.2240000069,2.549999952
-0.2240000069,0.400000006,2.549999952
0,0.400000006,2.549999952
-1.299999952,0.7279999852,2.549999952
-0.7279999852,1.299999952,2.549999952
0,1.299999952,2.549999952
-1.299999952,0.7279999852,2.400000095
-0.7279999852,1.299999952,2.400000095
0,1.299999952,2.400000095
0.2240000069,0.400000006,2.549999952
0.400000006,0.2240000069,2.549999952
0.7279999852,1.299999952,2.549999952
1.299999952,0.7279999852,2.549999952
0.7279999852,1.299999952,2.400000095
1.299999952,0.7279999852,2.400000095
0,0,0
1.5,0,0.150000006
1.5,0.8399999738,0.150000006
0.8399999738,1.5,0.150000006
0,1.5,0.150000006
1.5,0,0.07500000298
1.5,0.8399999738,0.07500000298
0.8399999738,1.5,0.07500000298
0,1.5,0.07500000298
1.424999952,0,0
1.424999952,0.7979999781,0
0.7979999781,1.424999952,0
0,1.424999952,0
-0.8399999738,1.5,0.150000006
-1.5,0.8399999738,0.150000006
-1.5,0,0.150000006
-0.8399999738,1.5,0.07500000298
-1.5,0.8399999738,0.07500000298
-1.5,0,0.07500000298
-0.7979999781,1.424999952,0
-1.424999952,0.7979999781,0
-1.424999952,0,0
-1.5,-0.8399999738,0.150000006
-0.8399999738,-1.5,0.150000006
0,-1.5,0.150000006
-1.5,-0.8399999738,0.07500000298
-0.8399999738,-1.5,0.07500000298
0,-1.5,0.07500000298
-1.424999952,-0.7979999781,0
-0.7979999781,-1.424999952,0
0,-1.424999952,0
0.8399999738,-1.5,0.150000006
1.5,-0.8399999738,0.150000006
0.8399999738,-1.5,0.07500000298
1.5,-0.8399999738,0.07500000298
0.7979999781,-1.424999952,0
1.424999952,-0.7979999781,0
